,TRIP_TIME_OF_DAY,TRIP_DURATION_MIN,DAY_TYPE,PAYMENT_TYPE,FARE_PER_MILE,HAS_TIP,HAS_EXTRAS,PICKUP_COMMUNITY_AREA,DROPOFF_COMMUNITY_AREA,FARE
263,afternoon,30.0,Tuesday,Electronic,6.6105769230769225,0,0,39.0,39.0,13.75
264,evening,30.0,Tuesday,Electronic,6.424581005586592,1,0,32.0,8.0,11.5
265,afternoon,0.63,Tuesday,Electronic,9.523809523809524,1,0,8.0,8.0,6.0
266,evening,30.0,Tuesday,Electronic,6.125,1,0,32.0,8.0,12.25
267,morning,15.0,Monday,Electronic,7.563025210084034,1,0,8.0,8.0,9.0
268,evening,15.0,Tuesday,Electronic,9.328358208955223,1,1,8.0,8.0,6.25
269,morning,15.0,Tuesday,Electronic,6.934306569343065,0,0,3.0,3.0,9.5
270,afternoon,15.0,Monday,Cash,7.086614173228346,0,0,8.0,32.0,9.0
271,afternoon,15.0,Tuesday,Electronic,6.317204301075268,0,0,8.0,8.0,11.75
272,afternoon,30.0,Tuesday,Cash,6.402439024390244,0,0,28.0,8.0,15.75
273,morning,0.61,Tuesday,Cash,9.836065573770492,0,0,8.0,8.0,6.0
274,afternoon,15.0,Monday,Electronic,8.680555555555555,1,0,8.0,8.0,6.25
275,afternoon,15.0,Monday,Cash,10.0,0,0,8.0,8.0,5.5
276,morning,15.0,Tuesday,Cash,7.115384615384615,0,0,8.0,8.0,9.25
277,afternoon,0.8,Tuesday,Electronic,8.4375,1,0,8.0,8.0,6.75
278,night,0.7,Tuesday,Cash,8.928571428571429,0,1,8.0,8.0,6.25
279,morning,15.0,Tuesday,Cash,8.571428571428571,0,1,32.0,32.0,6.0
280,evening,0.7,Monday,Cash,8.571428571428571,0,0,8.0,8.0,6.0
281,afternoon,0.7,Monday,Other,8.571428571428571,0,0,32.0,32.0,6.0
282,afternoon,15.0,Monday,Cash,6.833333333333333,0,0,1.0,1.0,10.25
283,evening,15.0,Tuesday,Electronic,9.583333333333334,1,0,32.0,28.0,5.75
284,morning,0.53,Monday,Electronic,9.90566037735849,0,0,8.0,8.0,5.25
285,afternoon,45.0,Monday,Cash,5.126953125,0,0,8.0,8.0,26.25
286,night,15.0,Tuesday,Electronic,6.764705882352941,1,0,28.0,32.0,11.5
287,evening,15.0,Tuesday,Electronic,5.056179775280899,1,0,8.0,28.0,9.0
288,morning,15.0,Monday,Cash,7.189542483660131,0,0,8.0,8.0,11.0
289,morning,60.0,Tuesday,Electronic,5.828516377649326,0,0,37.0,71.0,30.25
290,afternoon,30.0,Tuesday,Electronic,6.095406360424028,0,0,38.0,38.0,17.25
291,morning,0.68,Monday,Cash,9.191176470588236,0,0,8.0,8.0,6.25
292,evening,60.0,Monday,Electronic,5.5,0,0,38.0,43.0,30.25
293,afternoon,15.0,Tuesday,Cash,7.653061224489796,0,0,32.0,28.0,7.5
294,evening,15.0,Monday,Electronic,5.0,1,0,28.0,8.0,9.0
295,evening,15.0,Tuesday,Cash,6.818181818181818,0,0,8.0,32.0,9.75
296,morning,15.0,Tuesday,Electronic,8.552631578947368,1,0,1.0,1.0,6.5
297,evening,30.0,Tuesday,Cash,11.5,0,1,76.0,8.0,17.25
298,afternoon,15.0,Tuesday,Cash,7.0,0,0,8.0,8.0,10.5
299,afternoon,30.0,Monday,Cash,6.25,0,0,32.0,8.0,13.0
300,morning,15.0,Monday,Cash,7.377049180327869,0,0,32.0,32.0,9.0
301,evening,15.0,Tuesday,Cash,9.615384615384615,0,1,32.0,32.0,6.25
302,morning,15.0,Monday,Cash,6.534090909090909,0,0,32.0,32.0,11.5
303,evening,15.0,Monday,Cash,6.303418803418804,0,0,6.0,3.0,14.75
304,night,0.82,Wednesday,Electronic,8.536585365853659,1,0,8.0,8.0,7.0
305,evening,15.0,Tuesday,Electronic,7.926829268292684,1,1,32.0,8.0,6.5
306,evening,15.0,Tuesday,Electronic,6.914893617021277,1,0,8.0,28.0,9.75
307,morning,0.55,Monday,Cash,10.0,0,0,8.0,8.0,5.5
308,afternoon,1.08,Monday,Electronic,7.175925925925926,1,0,8.0,32.0,7.75
309,morning,15.0,Tuesday,Cash,11.5625,0,0,8.0,32.0,9.25
310,evening,15.0,Monday,Electronic,8.125,1,1,8.0,8.0,6.5
311,evening,15.0,Monday,Cash,6.369426751592356,0,0,32.0,28.0,10.0
312,afternoon,15.0,Tuesday,Cash,8.4375,0,0,32.0,32.0,6.75
313,morning,30.0,Monday,Electronic,5.827067669172932,0,0,3.0,6.0,15.5
314,evening,30.0,Tuesday,Electronic,5.803571428571429,1,0,32.0,8.0,16.25
315,afternoon,0.89,Monday,Electronic,7.865168539325842,1,1,8.0,8.0,7.0
316,evening,30.0,Tuesday,Cash,5.798479087452471,0,0,32.0,24.0,15.25
317,evening,15.0,Tuesday,Electronic,6.176470588235294,1,0,32.0,8.0,10.5
318,afternoon,15.0,Tuesday,Cash,8.802816901408452,0,0,8.0,8.0,6.25
319,evening,15.0,Monday,Cash,10.185185185185185,0,1,8.0,8.0,5.5
320,afternoon,0.58,Tuesday,Cash,9.482758620689657,0,0,8.0,8.0,5.5
321,evening,15.0,Tuesday,Cash,8.055555555555555,0,1,8.0,8.0,7.25
